,Study,Mosquito,Insecticide,concn,Hut,location,wall_type,Deterrency,Induced_Exophily,Bloodfeeding_inhibition,Insecticide_induced_mortality,insecticide,Months_since_IRS,Ntotalfemalemosq_C,Ntotaldied_C,Nexittraps_C,Nbloodfed_C,Ntotalfemalemosq_IRS,Ntotaldied_IRS,Nexittraps_IRS,Nbloodfed_IRS,P_fed_and_alive,P_fed_and_dead,P_unfed_and_dead,P_unfed_and_alive,P_killed,P_bloodfed,P_other
137,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,14.49275362,49.02216428,44.18335901,1.043024772,bendiocarb,4.933333333,69,4,30,44,59,4,42,21,0.589535741,0.024563989,0,0.356177843,0.024563989,0.589535741,0.38590027
138,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,5,-27.42382271,23.97660819,22.43767313,bendiocarb,5.033333333,60,3,41,36,57,15,34,26,0.432558736,0.045219042,0.070175439,0.314327485,0.11539448,0.432558736,0.452046784
139,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,22.72727273,23.87543253,22.96918768,18.74145007,bendiocarb,5.066666667,88,2,54,42,68,14,48,25,0.46875,0.009191176,0.009191176,0.505514706,0.018382353,0.46875,0.512867647
140,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,33.88429752,-65.88709677,-1.862244898,17.96610169,bendiocarb,5.1,121,3,90,49,80,16,46,33,0.431033058,0.02268595,0.052376033,0.761363636,0.075061983,0.431033058,0.493904959
141,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,4.794520548,52.08885523,40.4273596,18.80197969,bendiocarb,5.133333333,146,5,89,67,139,30,113,38,0.482314296,0.028674173,0.033605992,0.418350251,0.062280165,0.482314296,0.455405539
142,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-7.865168539,4.03874269,28.78925121,19.21905458,bendiocarb,5.166666667,178,7,121,69,192,43,133,53,0.456567657,0.025086135,0.025895365,0.34181882,0.0509815,0.456567657,0.492450843
143,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,51.64835165,24.79338843,64.20454545,15.74074074,bendiocarb,5.5,91,10,58,52,44,11,32,9,0.579420579,0.01998002,0.082667333,0.719280719,0.102647353,0.579420579,0.317932068
144,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,45.71428571,22.22222222,28.3625731,31.57894737,bendiocarb,5.533333333,70,0,25,18,38,12,19,7,0.698417095,0.018876138,0.052631579,0.663157895,0.071507717,0.698417095,0.230075188
145,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,59.09090909,16.88888889,30.15873016,32.26238286,bendiocarb,5.566666667,88,5,38,56,36,13,19,16,0.609953704,0.055450337,0.066919192,0.693181818,0.122369529,0.609953704,0.267676768
146,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,60.50420168,11.38297872,-2.093342485,9.110747409,bendiocarb,5.6,119,2,59,62,47,5,26,25,0.465216779,0.049712597,0.070266404,0.771857679,0.119979001,0.465216779,0.41480422
147,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,11.88118812,27.7834525,47.90937558,26.6371581,bendiocarb,5.633333333,101,2,57,61,89,25,61,28,0.602234191,0.00684357,0.039158972,0.317054177,0.046002542,0.602234191,0.351763266
148,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-124.5714286,32.47210804,34.94855626,34.11752452,bendiocarb,5.733333333,175,4,84,115,393,140,255,168,0.537228766,0.060328486,0.110170847,-0.743162486,0.170499333,0.537228766,0.292271901
149,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-9.88372093,20.17079736,45.63320278,50.16376921,bendiocarb,5.8,172,4,115,77,189,97,139,46,0.424311671,0.006843737,0.098929494,0.255998523,0.105773231,0.424311671,0.469915098
150,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,3.144654088,14.55441111,-59.17207792,24.55044955,bendiocarb,5.833333333,159,3,101,48,154,40,106,74,0.30148423,0.023191095,0.051948052,0.378787879,0.075139147,0.30148423,0.623376623
151,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-7.826086957,14.98655914,-37.70772239,25.80645161,bendiocarb,5.866666667,115,5,55,33,124,36,69,49,0.437913405,0.060263313,0.079242637,0.288008415,0.139505949,0.437913405,0.422580645
152,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,12.03007519,-5.095952266,53.81944444,51.03221565,bendiocarb,5.9,133,3,80,64,117,61,68,26,0.577774153,0.020452182,0.080457554,0.405693721,0.100909737,0.577774153,0.321316111
153,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,44.69026549,10.46095238,37.90707071,28.67522936,bendiocarb,5.966666667,226,8,121,99,125,39,73,34,0.536417416,0.016432142,0.068176991,0.746548673,0.084609133,0.536417416,0.378973451
154,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-25.14285714,7.01535907,39.37962526,11.58034098,bendiocarb,6,175,6,120,87,219,32,155,66,0.46590998,0.004853229,0.037677756,0.145596869,0.042530985,0.46590998,0.491559035
155,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-62.13592233,13.65269461,35.75349301,29.16345527,bendiocarb,6.033333333,103,2,68,48,167,51,118,50,0.494476195,0.015261611,0.069821522,-0.197081565,0.085083133,0.494476195,0.420440672
156,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,15.05376344,21.51898734,-1.295260524,32.18216841,bendiocarb,6.066666667,186,2,102,86,158,52,102,74,0.421944374,0.031574069,0.051925956,0.379746835,0.083500025,0.421944374,0.494555601
157,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,0.540540541,47.33436853,25.6852552,16.67667547,bendiocarb,6.1,185,4,101,92,184,34,140,68,0.396911562,0.018041435,0.128819036,0.296856639,0.146860471,0.396911562,0.456227967
158,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-32.60869565,20.81967213,38.02954066,30.23759659,bendiocarb,6.2,230,3,130,101,305,95,200,83,0.547997149,0,0.059814683,0.014711333,0.059814683,0.547997149,0.392188168
159,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,18.58736059,-62.71126134,15.95770248,41.35510008,bendiocarb,6.233333333,269,3,192,76,219,92,117,52,0.321689812,0.001475641,0.168321706,0.572626504,0.169797347,0.321689812,0.508512841
160,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-31.37254902,16.17230304,54.98314877,33.88832729,bendiocarb,6.266666667,255,4,176,93,335,117,248,55,0.419860312,0.008585693,0.026865672,0.192098332,0.035451365,0.419860312,0.544688323
