,Study,Mosquito,Insecticide,concn,Hut,location,wall_type,Deterrency,Induced_Exophily,Bloodfeeding_inhibition,Insecticide_induced_mortality,insecticide,Months_since_IRS,time,Ntotalfemalemosq_C,Ntotaldied_C,Nexittraps_C,Nbloodfed_C,Ntotalfemalemosq_IRS,Ntotaldied_IRS,Nexittraps_IRS,Nbloodfed_IRS
79,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-18.18181818,9.941520468,-125,44.44444444,sumishield,4,4,22,0,3,22,18,8,4,18
80,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-27.27272727,42.10526316,#DIV/0!,0,sumishield,4,4,22,0,3,22,16,0,8,15
81,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-25.92592593,67.85714286,-750,10,sumishield,4.25,4.25,27,0,6,27,20,2,15,17
82,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-51.85185185,10.98901099,-500,15.38461538,sumishield,4.25,4.25,27,0,6,27,13,2,4,12
83,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-40.74074074,19.64285714,-275,25,sumishield,4.25,4.25,27,0,6,27,16,4,6,15
84,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-44.44444444,22.85714286,-160,33.33333333,sumishield,4.25,4.25,27,0,6,27,15,5,6,13
85,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-62.96296296,10,#DIV/0!,0,sumishield,4.25,4.25,27,0,6,27,10,0,3,10
86,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-19.35483871,13.73913043,-733.3333333,12,sumishield,4.5,4.5,31,0,8,31,25,3,9,25
87,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-22.58064516,26.99275362,-380,20.83333333,sumishield,4.5,4.5,31,0,8,31,24,5,11,24
88,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-6.451612903,-6.896551724,-190,34.48275862,sumishield,4.5,4.5,31,0,8,31,29,10,6,29
89,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-77.41935484,22.98136646,-133.3333333,42.85714286,sumishield,4.5,4.5,31,0,8,31,7,3,3,7
90,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-58.06451613,17.05685619,-550,15.38461538,sumishield,4.5,4.5,31,0,8,31,13,2,5,13
91,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-32.60869565,-9.677419355,-866.6666667,9.677419355,sumishield,4.75,4.75,46,0,23,46,31,3,14,29
92,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-43.47826087,-69.23076923,-420,19.23076923,sumishield,4.75,4.75,46,0,23,46,26,5,4,26
